ID,Name,Description,Concepticon_ID
wing,wing,,
blood,blood,,
black,black,,
navel,navel,,
louse,louse,,
liver,liver,,
long,long,,
fingernail,fingernail,,
fleshmeat,flesh/meat,,
tocarryonback,to carry (on back),,
tolaugh,to laugh,,
big,big,,
tocryweep,to cry/weep,,
toknow,to know,,
eat,eat,,
tongue,tongue,,
todie,to die,,
wind,wind,,
smoke,smoke,,
house,house,,
tail,tail,,
mouth,mouth,,
armhand,arm/hand,,
3sg,3SG,,
red,red,,
what,what?,,
name,name,,
heavy,heavy,,
tokill,to kill,,
head,head,,
root,root,,
tofly,to fly,,
togive,to give,,
tosee,to see,,
skinhide,skin/hide,,
tosleep,to sleep,,
fire,fire,,
breast,breast,,
moon,moon,,
one,one,,
toburnit,to burn (it.),,
cloud,cloud,,
tosit,to sit,,
ant,ant,,
egg,egg,,
2sg,2SG,,
haironhead,hair on head,,
drink,drink,,
wood,wood,,
eye,eye,,
todomake,to do/make,,
togo,to go,,
ash,ash,,
in,in,,
tosay,to say,,
torun,to run,,
sweet,sweet,,
stand,stand,,
who,who?,,
woman,woman,,
sand,sand,,
far,far,,
fish,fish,,
ear,ear,,
neck,neck,,
horn,horn,,
nose,nose,,
yesterday,yesterday,,
white,white,,
good,good,,
legfoot,leg/foot,,
this,this,,
sun,sun,,
bird,bird,,
fat,fat,,
thick,thick,,
1sg,1SG,,
not,not,,
dog,dog,,
bitter,bitter,,
tohear,to hear,,
small,small,,
tooth,tooth,,
stonerock,stone/rock,,
hard,hard,,
star,star,,
salt,salt,,
rain,rain,,
oldofthings,old of things,,
leaf,leaf,,
water,water,,
dry,dry,,
totake,to take,,
full,full,,
new,new,,
tohide,to hide,,
bite,bite,,
bone,bone,,
path,path,,
knee,knee,,
