ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	COGNACY	COGID	SEGMENTS	ALIGNMENT
1	1sg	1SG	Duhumbi	Duhumbi		ga	g a				101	g a	g a -
101	1sg	1SG	Khispi	Khispi		ga	g a				101	g a	g a -
201	1sg	1SG	Rupa	Rupa		gu	g u				101	g u	g u -
301	1sg	1SG	Shergaon	Shergaon		gu	g u				101	g u	g u -
400	1sg	1SG	Rahung	Rahung		gu	g u				101	g u	g u -
504	1sg	1SG	Khoitam	Khoitam		gu	g u				101	g u	g u -
606	1sg	1SG	Jerigaon	Jerigaon		gu	g u				101	g u	g u -
706	1sg	1SG	Khoina	Khoina		gu	g u				101	g u	g u -
805	1sg	1SG	Dikhyang	Dikhyang		koː	k oː				101	k oː	k oː -
905	1sg	1SG	Singchung	Singchung		go	g o				101	g o	g o -
994	1sg	1SG	Wangho	Wangho		ko	k o				101	k o	k o -
1083	1sg	1SG	Bichom	Bichom		go ~ gu	g o				101	go ~ gu	go ~ gu
1084	1sg	1SG	Bichom	Bichom		go ~ gu	g u				101	go ~ gu	go ~ gu
1174	1sg	1SG	Kaspi	Kaspi		gu	g u				101	g u	g u -
1263	1sg	1SG	Namphri	Namphri		go	g o				101	g o	g o -
1352	1sg	1SG	Bulu	Bulu		guː	g uː				101	g uː	g uː -
1452	1sg	1SG	Kojo_Rojo	Kojo Rojo		go	g o				101	g o	g o -
1552	1sg	1SG	Rawa	Rawa		go	g o				101	g o	g o -
1649	1sg	1SG	Saria	Saria		go	g o				101	g o	g o -
1749	1sg	1SG	Chayangtajo	Chayangtajo		go	g o				101	g o	g o -
1849	1sg	1SG	Lasumpatte	Lasumpatte		go	g o				101	g o	g o -
2	2sg	2SG	Duhumbi	Duhumbi		naŋ	n a ŋ				301	n a ŋ	n a ŋ
102	2sg	2SG	Khispi	Khispi		naŋ	n a ŋ				301	n a ŋ	n a ŋ
202	2sg	2SG	Rupa	Rupa		naŋ	n a ŋ				301	n a ŋ	n a ŋ
302	2sg	2SG	Shergaon	Shergaon		naŋ	n a ŋ				301	n a ŋ	n a ŋ
401	2sg	2SG	Rahung	Rahung		naŋ	n a ŋ				301	n a ŋ	n a ŋ
505	2sg	2SG	Khoitam	Khoitam		naŋ	n a ŋ				301	n a ŋ	n a ŋ
607	2sg	2SG	Jerigaon	Jerigaon		naŋ	n a ŋ				301	n a ŋ	n a ŋ
707	2sg	2SG	Khoina	Khoina		naŋ	n a ŋ				301	n a ŋ	n a ŋ
806	2sg	2SG	Dikhyang	Dikhyang		nɔ̃	n ɔ̃				301	n ɔ̃	n ɔ̃ -
906	2sg	2SG	Singchung	Singchung		no	n o				301	n o	n o -
995	2sg	2SG	Wangho	Wangho		no	n o				301	n o	n o -
1085	2sg	2SG	Bichom	Bichom		no	n o				301	n o	n o -
1175	2sg	2SG	Kaspi	Kaspi		no	n o				301	n o	n o -
1264	2sg	2SG	Namphri	Namphri		no	n o				301	n o	n o -
1353	2sg	2SG	Bulu	Bulu		naː	n aː				301	n aː	n aː -
1453	2sg	2SG	Kojo_Rojo	Kojo Rojo		naŋ	n a ŋ				301	n a ŋ	n a ŋ
1553	2sg	2SG	Rawa	Rawa		na	n a				301	n a	n a -
1650	2sg	2SG	Saria	Saria		na	n a				301	n a	n a -
1750	2sg	2SG	Chayangtajo	Chayangtajo		na	n a				301	n a	n a -
1850	2sg	2SG	Lasumpatte	Lasumpatte		na	n a				301	n a	n a -
3	3sg	3SG	Duhumbi	Duhumbi		wɔj	w ɔ j				501	w ɔ j	- - - - - w ɔ j -
103	3sg	3SG	Khispi	Khispi		wuj	w u j				501	w u j	- - - - - w u j -
203	3sg	3SG	Rupa	Rupa		wa	w a				501	w a	- - - - - w a - -
303	3sg	3SG	Shergaon	Shergaon		wa	w a				501	w a	- - - - - w a - -
402	3sg	3SG	Rahung	Rahung		hɛ ~ ʔɛ	h ɛ				501	hɛ ~ ʔɛ	hɛ ~ ʔɛ - - - - - -
403	3sg	3SG	Rahung	Rahung		hɛ ~ ʔɛ	ʔ ɛ				501	hɛ ~ ʔɛ	hɛ ~ ʔɛ - - - - - -
506	3sg	3SG	Khoitam	Khoitam		wa-ʥi	w a + dʑ i				501	w a ʥ i	- - - - - w a ʥ i
608	3sg	3SG	Jerigaon	Jerigaon		wa	w a				501	w a	- - - - - w a - -
708	3sg	3SG	Khoina	Khoina		laŋ-wa	l a ŋ + w a				501	l a ŋ w a	- - l a ŋ w a - -
807	3sg	3SG	Dikhyang	Dikhyang		oɛ	o ɛ				501	oɛ	- - - oɛ - - - - -
907	3sg	3SG	Singchung	Singchung		oe	oe				501	oe	- - - oe - - - - -
996	3sg	3SG	Wangho	Wangho		we	w e				501	w e	- - - - - w e - -
1086	3sg	3SG	Bichom	Bichom		uwe	u w e				501	u w e	- - - u - w e - -
1176	3sg	3SG	Kaspi	Kaspi		tʰe	tʰ e				502	tʰ e	tʰ e
1265	3sg	3SG	Namphri	Namphri		oe	oe				501	oe	- - - oe - - - - -
1354	3sg	3SG	Bulu	Bulu		vɛː	v ɛː				501	v ɛː	- - - - - v ɛː - -
1454	3sg	3SG	Kojo_Rojo	Kojo Rojo		wai	w ai				501	w ai	- - - - - w ai - -
1554	3sg	3SG	Rawa	Rawa		hoː	h oː				503	h oː	h oː
1651	3sg	3SG	Saria	Saria		waː	w aː				501	w aː	- - - - - w aː - -
1751	3sg	3SG	Chayangtajo	Chayangtajo		wɛː	w ɛː				501	w ɛː	- - - - - w ɛː - -
1851	3sg	3SG	Lasumpatte	Lasumpatte		wɛː	w ɛː				501	w ɛː	- - - - - w ɛː - -
4	ant	ant	Duhumbi	Duhumbi		kʰin-ʨʰɔk	kʰ i n + tɕʰ ɔ k				701	kʰ i n ʨʰ ɔ k	kʰ - i n - ʨʰ - ɔ k
104	ant	ant	Khispi	Khispi		kʰe-ʨʰɔk	kʰ e + tɕʰ ɔ k				701	kʰ e ʨʰ ɔ k	kʰ - e - - ʨʰ - ɔ k
204	ant	ant	Rupa	Rupa		san-ʥɔk	s a n + dʑ ɔ k				701	s a n ʥ ɔ k	s - a n - ʥ - ɔ k
304	ant	ant	Shergaon	Shergaon		san-ʥɔk	s a n + dʑ ɔ k				701	s a n ʥ ɔ k	s - a n - ʥ - ɔ k
404	ant	ant	Rahung	Rahung		saŋ-ʥɔk	s a ŋ + dʑ ɔ k				701	s a ŋ ʥ ɔ k	s - a ŋ - ʥ - ɔ k
507	ant	ant	Khoitam	Khoitam		saŋ-ʥɔk	s a ŋ + dʑ ɔ k				701	s a ŋ ʥ ɔ k	s - a ŋ - ʥ - ɔ k
609	ant	ant	Jerigaon	Jerigaon		san-ʥɔk	s a n + dʑ ɔ k				701	s a n ʥ ɔ k	s - a n - ʥ - ɔ k
709	ant	ant	Khoina	Khoina		ʂan-ʥɔk	ʂ a n + dʑ ɔ k				701	ʂ a n ʥ ɔ k	ʂ - a n - ʥ - ɔ k
808	ant	ant	Dikhyang	Dikhyang		ɕi-ɲiŋ	ɕ i + ɲ i ŋ				702	ɕ i ɲ i ŋ	ɕ i ɲ i ŋ
908	ant	ant	Singchung	Singchung		ʃiŋiŋ	ʃ i ŋ i ŋ				702	ʃ i ŋ i ŋ	ʃ i ŋ i ŋ
997	ant	ant	Wangho	Wangho		ʃiŋiŋ	ʃ i ŋ i ŋ				702	ʃ i ŋ i ŋ	ʃ i ŋ i ŋ
1087	ant	ant	Bichom	Bichom		siiŋ	s iː ŋ				702	s ii ŋ	s ii - - ŋ
1177	ant	ant	Kaspi	Kaspi		ʃiŋiŋ	ʃ i ŋ i ŋ				702	ʃ i ŋ i ŋ	ʃ i ŋ i ŋ
1266	ant	ant	Namphri	Namphri		ʃiŋiŋ	ʃ i ŋ i ŋ				702	ʃ i ŋ i ŋ	ʃ i ŋ i ŋ
1355	ant	ant	Bulu	Bulu		ʤam-ʤuʔ	dʒ a m + dʒ u ʔ				701	ʤ a m ʤ u ʔ	ʤ - a m - ʤ - u ʔ
1455	ant	ant	Kojo_Rojo	Kojo Rojo		gam-gɹu	g a m + g ɹ u				701	g a m g ɹ u	g - a m - g ɹ u -
1555	ant	ant	Rawa	Rawa		ga-mə-gɹoː	g a + m ə + g ɹ oː				701	g a m ə g ɹ oː	g - a m ə g ɹ oː -
1652	ant	ant	Saria	Saria		gɹɛŋ-gɹo	g ɹ ɛ ŋ + g ɹ o				701	g ɹ ɛ ŋ g ɹ o	g ɹ ɛ ŋ - g ɹ o -
1752	ant	ant	Chayangtajo	Chayangtajo		gɹɛŋ-gɹo	g ɹ ɛ ŋ + g ɹ o				701	g ɹ ɛ ŋ g ɹ o	g ɹ ɛ ŋ - g ɹ o -
1852	ant	ant	Lasumpatte	Lasumpatte		gɹɛŋ-gɹo	g ɹ ɛ ŋ + g ɹ o				701	g ɹ ɛ ŋ g ɹ o	g ɹ ɛ ŋ - g ɹ o -
5	armhand	arm/hand	Duhumbi	Duhumbi		hut	h u t				901	h u t	h u t
105	armhand	arm/hand	Khispi	Khispi		hut	h u t				901	h u t	h u t
205	armhand	arm/hand	Rupa	Rupa		ik	i k				902	i k	i k
305	armhand	arm/hand	Shergaon	Shergaon		ik	i k				902	i k	i k
405	armhand	arm/hand	Rahung	Rahung		ik	i k				902	i k	i k
508	armhand	arm/hand	Khoitam	Khoitam		ik	i k				902	i k	i k
610	armhand	arm/hand	Jerigaon	Jerigaon		ik	i k				902	i k	i k
710	armhand	arm/hand	Khoina	Khoina		ik	i k				902	i k	i k
809	armhand	arm/hand	Dikhyang	Dikhyang		wat	w a t				903	w a t	w a t
909	armhand	arm/hand	Singchung	Singchung		wat	w a t				903	w a t	w a t
998	armhand	arm/hand	Wangho	Wangho		wat	w a t				903	w a t	w a t
1088	armhand	arm/hand	Bichom	Bichom		wat	w a t				903	w a t	w a t
1178	armhand	arm/hand	Kaspi	Kaspi		wat	w a t				903	w a t	w a t
1267	armhand	arm/hand	Namphri	Namphri		wat	w a t				903	w a t	w a t
1356	armhand	arm/hand	Bulu	Bulu		geʔ	g e ʔ				904	g e ʔ	g e ʔ
1456	armhand	arm/hand	Kojo_Rojo	Kojo Rojo		geiʔ	g ei ʔ				904	g ei ʔ	g ei ʔ
1556	armhand	arm/hand	Rawa	Rawa		get	g e t				904	g e t	g e t
1653	armhand	arm/hand	Saria	Saria		geiʔ	g ei ʔ				904	g ei ʔ	g ei ʔ
1753	armhand	arm/hand	Chayangtajo	Chayangtajo		geiʔ	g ei ʔ				904	g ei ʔ	g ei ʔ
1853	armhand	arm/hand	Lasumpatte	Lasumpatte		geiʔ	g ei ʔ				904	g ei ʔ	g ei ʔ
6	ash	ash	Duhumbi	Duhumbi		ʨʰu-pʰak	tɕʰ u + pʰ a k				1101	ʨʰ u pʰ a k	ʨʰ u pʰ - a k
106	ash	ash	Khispi	Khispi		ʨʰu-pʰa	tɕʰ u + pʰ a				1101	ʨʰ u pʰ a	ʨʰ u pʰ - a -
206	ash	ash	Rupa	Rupa		ʨʰa-pʰluː	tɕʰ a + pʰ l uː				1101	ʨʰ a pʰ l uː	ʨʰ a pʰ l uː -
306	ash	ash	Shergaon	Shergaon		ʨʰa-pʰuː	tɕʰ a + pʰ uː				1101	ʨʰ a pʰ uː	ʨʰ a pʰ - uː -
406	ash	ash	Rahung	Rahung		ʨʰa-pʰluː	tɕʰ a + pʰ l uː				1101	ʨʰ a pʰ l uː	ʨʰ a pʰ l uː -
509	ash	ash	Khoitam	Khoitam		ʨʰa-pʰluː	tɕʰ a + pʰ l uː				1101	ʨʰ a pʰ l uː	ʨʰ a pʰ l uː -
611	ash	ash	Jerigaon	Jerigaon		ʨʰa-pʰluː	tɕʰ a + pʰ l uː				1101	ʨʰ a pʰ l uː	ʨʰ a pʰ l uː -
711	ash	ash	Khoina	Khoina		ʥɐ-pʰluː	dʑ ɐ + pʰ l uː				1101	ʥ ɐ pʰ l uː	ʥ ɐ pʰ l uː -
810	ash	ash	Dikhyang	Dikhyang		sə-pʰiə	s ə + pʰ iə				1102	s ə pʰ iə	s ə pʰ iə - -
910	ash	ash	Singchung	Singchung		s-pije	s + p i j e				1102	s p i j e	s - p i j e
999	ash	ash	Wangho	Wangho		s-pije	s + p i j e				1102	s p i j e	s - p i j e
1089	ash	ash	Bichom	Bichom		s-pije	s + p i j e				1102	s p i j e	s - p i j e
1179	ash	ash	Kaspi	Kaspi		s-pije	s + p i j e				1102	s p i j e	s - p i j e
1268	ash	ash	Namphri	Namphri		s-pije	s + p i j e				1102	s p i j e	s - p i j e
1357	ash	ash	Bulu	Bulu		pʰa-rəp	pʰ a + r ə p				1103	pʰ a r ə p	pʰ a r ə p
1457	ash	ash	Kojo_Rojo	Kojo Rojo		bə-rəm	b ə + r ə m				1103	b ə r ə m	b ə r ə m
1557	ash	ash	Rawa	Rawa		bai-rəp	b ai + r ə p				1103	b ai r ə p	b ai r ə p
1654	ash	ash	Saria	Saria		bai-rəʔ	b ai + r ə ʔ				1103	b ai r ə ʔ	b ai r ə ʔ
1754	ash	ash	Chayangtajo	Chayangtajo		bɛɛ-rak	b ɛː + r a k				1103	b ɛɛ r a k	b ɛɛ r a k
